symbol,timestamp,open,high,low,CLOSE,TOTTRDQTY
GOLDIAM,2018-01-01,84,84.95,83.1,83.55,16964
GOLDINFRA,2018-01-01,200,217.15,196.15,206.35,414332
GOLDIWIN,2018-01-01,264.4,266.45,263.1,263.9,1292
GOLDSHARE,2018-01-01,2610,2633.6,2610,2620,865
GOLDTECH,2018-01-01,16.85,17.05,16.25,17.05,122777
GOODLUCK,2018-01-01,92.15,94.9,90.1,91.05,104383
GPIL,2018-01-01,348.9,359.8,327.8,349.1,541035
GPPL,2018-01-01,137,138.15,136.1,136.55,142325
GPTINFRA,2018-01-01,189,205.8,184.85,197.4,52079
GRANULES,2018-01-01,138.85,139,136.2,137.45,1175335
GRAPHITE,2018-01-01,714.7,744.9,714.3,725.1,2658612
GRASIM,2018-01-01,1165.05,1169.8,1140.9,1143.95,187524
GRAVITA,2018-01-01,160.4,162.5,159,159.4,306734
GREAVESCOT,2018-01-01,137.75,143.2,137.75,140.4,2617492
GREENLAM,2018-01-01,1278,1329.5,1278,1301.75,1237
GREENPLY,2018-01-01,340,360,337.6,354.7,236931
GREENPOWER,2018-01-01,11.05,11.7,11,11.15,1473927
GRINDWELL,2018-01-01,554.6,554.6,540,544.85,6630
GROBTEA,2018-01-01,1463.4,1463.4,1463.4,1463.4,331
GRPLTD,2018-01-01,1383.95,1405,1376,1395.05,7377
GRUH,2018-01-01,501.5,503.65,498,498.45,70356
GSCLCEMENT,2018-01-01,35.55,36,34.8,35.25,20373
GSFC,2018-01-01,156.65,157.25,151.7,152.6,1611648
GSKCONS,2018-01-01,6552.9,6571,6394.5,6477.15,13341
GSPL,2018-01-01,227.1,229.8,223.7,224.7,222985
GSS,2018-01-01,28.4,29.35,27.5,28.7,196662
GTL,2018-01-01,17.5,19.3,16.8,17.8,2437552
GTLINFRA,2018-01-01,7.05,7.65,6.75,7.15,43180629
GTNIND,2018-01-01,19.9,20.8,18.6,19.65,29678
GTPL,2018-01-01,165.2,166.45,160,163.75,51137
GUFICBIO,2018-01-01,127,129.1,125,125.95,139174
GUJALKALI,2018-01-01,769.9,770.9,741.2,749,161946
GUJAPOLLO,2018-01-01,247.85,247.9,238.6,239.75,8205
GUJFLUORO,2018-01-01,917,917.05,895,897.15,43605
GUJGASLTD,2018-01-01,846.95,847,837,844.15,17171
GUJNRECOKE,2018-01-01,2,2.1,1.9,2,16184661
GUJNREDVR,2018-01-01,1.8,1.8,1.75,1.75,581046
GULFOILLUB,2018-01-01,987,997,975.05,982.55,2055
GULFPETRO,2018-01-01,85,86.95,85,85.6,49128
GULPOLY,2018-01-01,87,89.9,86.1,86.7,99462
HARITASEAT,2018-01-01,972.85,972.9,941.9,945.55,3140
HATHWAY,2018-01-01,40.3,42,39.15,39.6,258899
HATSUN,2018-01-01,827,830,821,824.85,14964
HAVELLS,2018-01-01,566.7,566.7,552,554.45,466717
HBLPOWER,2018-01-01,72.85,76.5,72.5,73.6,2667653
HBSTOCK,2018-01-01,50,50.35,47.55,47.65,296637
HCC,2018-01-01,41.25,43.7,40.7,42,16209405
HCG,2018-01-01,285.8,285.8,273.4,275.85,11295
HCL-INSYS,2018-01-01,58.45,62,57.4,60.15,11197819
HCLTECH,2018-01-01,889,890.7,875.95,878.7,643144
HDFC,2018-01-01,1710,1711.05,1677.5,1683.75,1387222
HDFCBANK,2018-01-01,1872.7,1880.75,1850.5,1854.5,1645129
